gene_id,start,end,seqnames,strand
ENSG00000166224.16,70815961,70860486,chr10,+
ENSG00000147439.12,22620712,22669148,chr8,-
ENSG00000145919.10,173607521,173616653,chr5,-
ENSG00000163719.19,9649473,9702387,chr3,+
ENSG00000165359.15,135520643,135582510,chrX,+
ENSG00000118194.18,201359008,201377680,chr1,-
ENSG00000145555.14,16701689,16741910,chr5,-
ENSG00000273432.1,44004046,44019175,chr7,-
ENSG00000253771.5,24938709,24968487,chr13,-
ENSG00000184445.11,122597243,122626396,chr12,+
ENSG00000277957.1,7572828,7578715,chr17,+
ENSG00000188343.12,93700252,93729250,chr8,+
ENSG00000160014.16,46602072,46610781,chr19,+
ENSG00000178952.10,28842838,28846330,chr16,-
ENSG00000112297.14,106541134,106570460,chr6,+
ENSG00000106628.10,44114687,44123532,chr7,-
ENSG00000142864.14,67412867,67430415,chr1,-
ENSG00000102030.15,153929926,153935066,chrX,-
ENSG00000130348.11,106629578,106666378,chr6,+
ENSG00000189362.11,190507537,190534678,chr2,-
ENSG00000111832.12,116571489,116593274,chr6,+
ENSG00000204054.13,129496923,129513673,chr9,+
ENSG00000156976.16,186783577,186789902,chr3,+
ENSG00000132436.11,50444133,50450324,chr7,-
ENSG00000067829.18,153785767,153794325,chrX,-
ENSG00000161526.14,75667346,75706774,chr17,+
ENSG00000172831.11,66934471,66944125,chr16,+
ENSG00000105220.14,34365196,34400346,chr19,+
ENSG00000115415.18,190969266,191014250,chr2,-
ENSG00000174720.15,112637525,112647210,chr4,+
ENSG00000010626.14,6905011,6914241,chr12,+
chr3:69049000,69049036,69052301,chr3,+
ENSG00000086504.15,367394,370432,chr16,-
ENSG00000088970.15,21126039,21246622,chr20,+
ENSG00000028116.16,58046642,58159784,chr2,+
ENSG00000163378.13,68975227,69013671,chr3,-
chr5:69093000,69093991,69095872,chr5,+
ENSG00000108651.9,31863174,31901765,chr17,-
ENSG00000112514.15,33416550,33418122,chr6,-
chr19:34172000,34172504,34174804,chr19,+
ENSG00000153071.14,39373021,39424976,chr5,-
ENSG00000180773.14,93147684,93197929,chr11,-
ENSG00000177731.15,18244836,18258691,chr17,-
ENSG00000135506.15,57694145,57721510,chr12,+
ENSG00000163050.16,226940294,226987545,chr1,+
ENSG00000108465.14,47971122,47981773,chr17,+
ENSG00000089006.16,17941600,17968511,chr20,-
ENSG00000126522.16,66075834,66092954,chr7,+
ENSG00000141959.16,44300051,44327376,chr21,+
ENSG00000227124.8,75710682,75785519,chr3,-
ENSG00000137601.16,169552224,169612632,chr4,-
ENSG00000118729.11,115700007,115768781,chr1,-
ENSG00000063046.17,53006448,53042209,chr12,+
ENSG00000275052.4,55548741,55617614,chr2,-
ENSG00000106524.8,16599776,16645662,chr7,-
ENSG00000055957.10,52777595,52792068,chr3,+
ENSG00000115073.7,97655963,97664107,chr2,-
ENSG00000170638.9,50185918,50198711,chr22,+
ENSG00000130244.12,38403154,38409088,chr19,+
ENSG00000162924.13,60881656,60920293,chr2,+
ENSG00000095059.15,12675722,12681838,chr19,-
ENSG00000177548.12,28904421,28925214,chr16,-
ENSG00000211445.11,151020592,151028993,chr5,+
ENSG00000175066.15,142163278,142225548,chr3,-
ENSG00000151092.16,25719113,25783498,chr3,-
ENSG00000104331.8,56962706,56993844,chr8,-
ENSG00000140575.12,90388261,90476700,chr15,+
ENSG00000100401.19,41245611,41285905,chr22,-
ENSG00000260916.7,55355645,55408052,chr15,-
ENSG00000163322.13,83460945,83485181,chr4,-
ENSG00000176978.13,137110546,137114691,chr9,-
ENSG00000188976.10,945104,959290,chr1,-
chr8:24950000,24950955,24956620,chr8,-
ENSG00000137073.21,33935322,34048949,chr9,-
ENSG00000197050.10,37078433,37130314,chr19,+
ENSG00000062716.12,59707651,59840591,chr17,+
ENSG00000257176.2,29281243,29317848,chr12,-
ENSG00000132635.16,2835314,2840702,chr20,-
ENSG00000167840.13,5105735,5111931,chr17,-
ENSG00000108298.9,39200317,39204711,chr17,+
ENSG00000165406.15,45458375,45594906,chr10,-
ENSG00000175354.18,12785481,12884277,chr18,-
ENSG00000162882.14,42767089,42792593,chr2,-
ENSG00000080503.22,2017586,2193624,chr9,+
ENSG00000243797.6,106569878,106770207,chr7,-
ENSG00000042980.12,24294040,24336601,chr8,+
ENSG00000173226.16,121769994,121835079,chr3,-
ENSG00000147144.12,49058983,49069573,chrX,+
ENSG00000121067.17,49600006,49678163,chr17,-
chr11:67428000,67428483,67430300,chr11,+
ENSG00000162909.17,223701593,223775837,chr1,+
ENSG00000139620.12,48653416,48682238,chr12,-
ENSG00000071205.11,147732063,148072776,chr4,+
ENSG00000163531.15,204986675,204997454,chr1,+
ENSG00000099622.13,1269332,1274806,chr19,+
ENSG00000011465.16,91145526,91182805,chr12,-
chr2:171517000_ENSG00000233762.3,171517222,171517738,chr2,-
ENSG00000111670.14,101780117,101830938,chr12,-
ENSG00000137098.13,35809819,35812175,chr9,-
ENSG00000139291.13,71686087,71704056,chr12,+
ENSG00000145996.11,20534457,20781505,chr6,+
ENSG00000109794.13,186144066,186167511,chr4,+
ENSG00000160310.17,46635653,46661125,chr21,+
ENSG00000125450.10,75205690,75235710,chr17,+
ENSG00000040341.17,73420369,73746937,chr8,-
ENSG00000115053.15,231460726,231483641,chr2,-
ENSG00000106927.11,114060127,114078328,chr9,-
ENSG00000033050.7,151213504,151227230,chr7,-
ENSG00000085760.14,55243583,55269248,chr2,-
ENSG00000115446.11,98608579,98618515,chr2,+
ENSG00000181392.14,36003310,36008793,chr19,-
ENSG00000046653.14,13770767,13938638,chrX,-
ENSG00000087191.12,63827460,63831984,chr17,+
ENSG00000110169.10,6431049,6441064,chr11,-
ENSG00000178882.14,123973273,124316024,chr12,+
ENSG00000134644.15,30932826,31065726,chr1,-
ENSG00000121903.14,33472651,33496389,chr1,+
ENSG00000089157.15,120196702,120201085,chr12,-
ENSG00000116750.13,193015759,193059421,chr1,-
ENSG00000109971.13,123057489,123062207,chr11,-
ENSG00000140521.12,89316320,89334861,chr15,-
ENSG00000224078.13,25041974,25077142,chr15,+
ENSG00000188223.9,35748567,35754519,chr19,+
ENSG00000103978.15,42211334,42273584,chr15,-
ENSG00000105372.6,41860255,41871416,chr19,+
ENSG00000105372.6,41860404,41871416,chr19,+
ENSG00000135454.13,57629329,57632679,chr12,-
ENSG00000145390.11,119212636,119295517,chr4,+
ENSG00000225806.7,58863528,58888848,chr20,-
ENSG00000196504.15,152656192,152717981,chr2,-
ENSG00000132122.11,48384785,48472208,chr1,-
ENSG00000136682.14,113437822,113496189,chr2,+
ENSG00000105281.12,46774883,46788594,chr19,-
ENSG00000166411.13,78149377,78170542,chr15,+
ENSG00000167123.18,128424183,128437351,chr9,+
ENSG00000079393.20,75094436,75109221,chr10,-
ENSG00000170074.19,177722544,177783398,chr5,-
chr14:21386000,21386345,21387659,chr14,+
ENSG00000158516.11,130266865,130289798,chr7,+
ENSG00000162729.13,160091340,160095332,chr1,-
ENSG00000072042.12,67677364,67695766,chr14,-
ENSG00000005483.20,105014190,105091609,chr7,+
ENSG00000175224.16,46617563,46670331,chr11,+
chr2:84905000,84905924,84907041,chr2,-
ENSG00000076944.15,7637122,7647872,chr19,+
ENSG00000112186.11,17393712,17557792,chr6,+
ENSG00000079246.15,216109351,216127614,chr2,+
ENSG00000149761.8,64226275,64228986,chr11,+
ENSG00000284057.1,93741657,93812405,chr11,+
ENSG00000131730.15,81233320,81313154,chr5,+
ENSG00000168255.19,102567051,102572567,chr7,-
ENSG00000232451.1,23027385,23199056,chr2,-
ENSG00000174444.14,66499320,66504827,chr15,-
ENSG00000243207.6,10106395,10111296,chr19,+
ENSG00000253320.5,102864337,102905295,chr8,+
chr19:56393000,56393718,56396678,chr19,+
ENSG00000007341.18,112524184,112619113,chr1,-
ENSG00000137154.12,19376255,19380206,chr9,-
ENSG00000173226.16,121769763,121835079,chr3,-
ENSG00000114686.8,131488671,131502969,chr3,-
ENSG00000141349.8,44070735,44076344,chr17,+
ENSG00000166887.15,42158867,42208316,chr15,-
ENSG00000126522.16,66075798,66092954,chr7,+
ENSG00000143183.16,165726795,165768888,chr1,-
ENSG00000116266.10,108746674,108809526,chr1,+
ENSG00000167077.12,41781399,41799456,chr22,+
ENSG00000118564.14,15605006,15681751,chr4,-
ENSG00000167291.15,79943856,80035848,chr17,-
ENSG00000152556.15,48119348,48146004,chr12,+
ENSG00000232629.8,32659886,32763534,chr6,-
ENSG00000183092.16,100543295,100569558,chr14,-
ENSG00000064490.13,19192913,19201872,chr19,+
ENSG00000126456.15,49659572,49665859,chr19,-
ENSG00000127990.15,94585230,94656186,chr7,-
ENSG00000273706.4,36936785,36943208,chr17,+
ENSG00000171557.16,154604576,154612659,chr4,-
chr11:111913000,111913214,111914093,chr11,+
ENSG00000168288.12,149569634,149587778,chr2,-
ENSG00000135424.15,55684568,55707884,chr12,-
ENSG00000156222.11,84884661,84896046,chr15,+
ENSG00000113048.16,72219528,72320231,chr5,-
ENSG00000166333.13,6603744,6610874,chr11,+
ENSG00000101138.11,56392371,56404260,chr20,+
ENSG00000118263.14,207079090,207165975,chr2,-
ENSG00000107581.12,119035045,119080823,chr10,-
ENSG00000223705.9,75410362,75416789,chr7,+
ENSG00000163001.11,55519604,55545079,chr2,+
ENSG00000148584.14,50835790,50885675,chr10,-
ENSG00000179218.13,12938607,12944403,chr19,+
ENSG00000170144.20,177212726,177219865,chr2,+
ENSG00000161057.11,103347712,103368208,chr7,+
ENSG00000234745.10,31353872,31357188,chr6,-
ENSG00000106290.14,100107070,100119372,chr7,-
ENSG00000240401.8,55282329,55346049,chr2,+
ENSG00000184584.12,139475534,139482698,chr5,-
ENSG00000095209.11,105694544,105775816,chr9,+
ENSG00000074054.17,121425101,121649476,chr2,-
ENSG00000088682.13,57447482,57461275,chr16,+
ENSG00000166104.14,62242490,62244595,chr15,-
ENSG00000214078.12,35627042,35664956,chr20,-
chr1:17052000,17052009,17054046,chr1,-
ENSG00000105819.13,103297435,103312415,chr7,+
ENSG00000135919.12,223975153,224039290,chr2,-
ENSG00000154262.12,69078211,69141874,chr17,-
ENSG00000166012.16,93730200,93741495,chr11,-
ENSG00000130254.11,5604583,5622776,chr19,-
ENSG00000225828.1,32361270,32362243,chr1,-
chr10:24951000,24951300,24952592,chr10,-
ENSG00000107672.14,121957091,121974807,chr10,-
ENSG00000161016.17,144789769,144792420,chr8,-
ENSG00000196235.13,39445582,39476670,chr19,+
ENSG00000134884.13,106543330,106568164,chr13,-
ENSG00000204344.14,31972535,31981451,chr6,+
ENSG00000185627.17,236966,252953,chr11,+
ENSG00000162627.16,98661701,98760500,chr1,+
chr3:36988000,36988979,36993331,chr3,-
ENSG00000162813.17,220058492,220089853,chr1,-
ENSG00000092621.11,119711884,119744215,chr1,+
chr3:185959000,185959967,185961989,chr3,+
ENSG00000166405.14,8133977,8169055,chr11,-
ENSG00000159352.15,151254758,151267466,chr1,+
ENSG00000049540.16,74028101,74069678,chr7,+
ENSG00000175309.14,178208639,178232785,chr5,-
ENSG00000080845.17,36461747,36527190,chr20,+
ENSG00000104408.9,108201743,108248765,chr8,-
ENSG00000179295.17,112418909,112457486,chr12,+
ENSG00000122591.11,22944509,23014074,chr7,-
ENSG00000131966.13,58200138,58234760,chr14,+
ENSG00000166913.12,44885702,44906520,chr20,+
ENSG00000179818.13,70045259,70088508,chr2,-
ENSG00000168118.11,229271132,229304405,chr1,+
ENSG00000163631.16,73404289,73421256,chr4,+
ENSG00000136986.9,123019192,123042302,chr8,-
ENSG00000146070.16,46704538,46735342,chr6,-
chr2:55617000,55617917,55619958,chr2,+
ENSG00000151779.12,15417582,15561330,chr2,-
ENSG00000103671.9,64387836,64455236,chr15,+
ENSG00000062598.17,46372835,46406632,chr20,-
ENSG00000140400.16,75357735,75368604,chr15,-
ENSG00000101407.12,37983022,38033461,chr20,-
chr19:32968000,32968909,32971975,chr19,-
ENSG00000129116.17,168832041,168928445,chr4,+
ENSG00000101266.17,482694,543821,chr20,-
ENSG00000139651.10,53180700,53187203,chr12,+
ENSG00000167733.13,5681009,5685757,chr19,+
ENSG00000126261.12,34428373,34469890,chr19,+
ENSG00000127472.10,20070208,20091190,chr1,+
ENSG00000104953.19,2977538,2995179,chr19,+
ENSG00000100983.9,34928430,34955817,chr20,-
ENSG00000083444.16,11934734,11975538,chr1,+
ENSG00000155792.9,119873717,120051134,chr8,+
ENSG00000105053.10,49981700,50025439,chr19,-
ENSG00000104327.7,90058608,90082879,chr8,-
ENSG00000108010.11,130136399,130179664,chr10,+
ENSG00000204628.11,181236929,181243947,chr5,-
ENSG00000181523.12,80209290,80220322,chr17,-
ENSG00000168056.15,65551108,65554140,chr11,-
ENSG00000147604.13,73290639,73294438,chr8,-
ENSG00000029364.11,69398692,69462388,chr14,+
ENSG00000111674.8,6914538,6923698,chr12,+
ENSG00000092020.10,35085473,35121986,chr14,-
ENSG00000111653.19,6650591,6663148,chr12,-
ENSG00000120925.15,42855248,42896585,chr8,-
ENSG00000196923.13,177483396,177497586,chr5,-
ENSG00000173540.12,49719924,49723943,chr3,-
chr15:36879000,36879525,36886533,chr15,-
chr3:169772000,169772368,169773404,chr3,-
ENSG00000124228.14,49219416,49244077,chr20,+
ENSG00000166913.12,44885702,44906520,chr20,+
ENSG00000223705.9,75410362,75416789,chr7,+
ENSG00000163631.16,73404289,73421256,chr4,+
ENSG00000100911.15,24143365,24146685,chr14,-
ENSG00000115415.18,190969149,191014250,chr2,-
ENSG00000164331.9,73552335,73565667,chr5,-
ENSG00000109180.14,48831342,48861200,chr4,+
ENSG00000063854.12,1809103,1826834,chr16,-
ENSG00000105939.12,139045916,139109719,chr7,-
ENSG00000274602.4,18533657,18548353,chr22,-
ENSG00000234741.7,173863901,173868081,chr1,-
ENSG00000108423.14,59859482,59892858,chr17,-
ENSG00000013364.18,29820473,29848039,chr16,+
ENSG00000257950.3,3663063,3696033,chr17,-
ENSG00000153113.23,96702800,96738952,chr5,+
ENSG00000092201.9,21351479,21384013,chr14,-
ENSG00000158092.6,136862267,136949126,chr3,+
ENSG00000139505.11,25246201,25261808,chr13,-
ENSG00000134744.13,52423403,52553082,chr1,-
chr15:79918000_ENSG00000278600.1,79920195,79923749,chr15,-
ENSG00000169062.14,114281925,114305817,chr13,+
ENSG00000198799.11,113073209,113100855,chr1,+
ENSG00000115457.9,216498844,216664436,chr2,+
ENSG00000131051.22,35704326,35742312,chr20,-
ENSG00000172992.11,45023344,45051661,chr17,-
ENSG00000173226.16,121769763,121835079,chr3,-
ENSG00000204525.16,31268749,31272069,chr6,-
ENSG00000022267.16,136147666,136211354,chrX,+
ENSG00000147535.16,38263130,38269230,chr8,-
ENSG00000142546.13,49555711,49580572,chr19,-
ENSG00000156508.17,73517515,73521032,chr6,-
ENSG00000144504.15,240479422,240560776,chr2,-
ENSG00000244754.8,32517621,32538782,chr13,-
ENSG00000101182.14,62136857,62143440,chr20,-
ENSG00000114120.11,140941830,140979933,chr3,+
ENSG00000170275.14,33114054,33143158,chr3,+
chr2:181616000,181616207,181657006,chr2,-
ENSG00000105409.16,41966582,41994276,chr19,-
ENSG00000147649.9,97644179,97713735,chr8,+
ENSG00000095059.15,12675717,12681838,chr19,-
ENSG00000017260.19,130894015,131001775,chr3,+
chr20:2453000,2453118,2454773,chr20,+
ENSG00000229585.4,53986469,53987085,chr4,-
ENSG00000164051.13,48432170,48440119,chr3,-
ENSG00000243989.8,51983473,51989177,chr3,+
ENSG00000180209.11,30374777,30377991,chr16,+
ENSG00000205765.8,41904349,41918764,chr5,+
chr1:204346000_ENSG00000219133.2,204346750,204347287,chr1,-
ENSG00000126457.21,49677249,49688447,chr19,+
ENSG00000015479.18,139293952,139330394,chr5,+
ENSG00000088833.17,1443511,1466918,chr20,-
ENSG00000173085.13,83263824,83284795,chr4,-
ENSG00000205744.9,6474631,6477588,chr19,-
ENSG00000169758.12,76059958,76229594,chr15,+
ENSG00000168994.13,3722614,3751532,chr6,-
chr19:56272000,56272742,56274503,chr19,+
ENSG00000125755.18,45824655,45863142,chr19,-
ENSG00000127054.20,1311602,1324687,chr1,-
ENSG00000100650.15,69767112,69771915,chr14,+
chr16:75242000,75242703,75245021,chr16,+
ENSG00000135763.9,229626234,229660199,chr1,+
ENSG00000103253.17,727246,729752,chr16,+
ENSG00000196235.13,39445558,39467091,chr19,+
ENSG00000139719.9,122231481,122266521,chr12,-
ENSG00000159840.15,143381360,143391111,chr7,+
ENSG00000178222.12,1056254,1113541,chr4,-
ENSG00000100353.17,36510856,36529184,chr22,-
ENSG00000117791.15,220756278,220784240,chr1,+
ENSG00000185359.12,81683984,81702119,chr17,+
ENSG00000079134.11,214520,268022,chr18,-
ENSG00000137601.16,169393275,169612632,chr4,-
ENSG00000198466.11,57819719,57863099,chr19,+
ENSG00000197165.10,28591943,28597109,chr16,-
ENSG00000179241.12,35944078,36232136,chr11,+
ENSG00000138757.14,75642782,75724470,chr4,-
ENSG00000165948.10,94081311,94102714,chr14,+
ENSG00000078668.13,42391846,42405897,chr8,+
ENSG00000136156.12,48233203,48261870,chr13,+
ENSG00000136156.12,48233203,48261388,chr13,+
ENSG00000162144.9,61348818,61361885,chr11,-
ENSG00000044115.20,138753421,138934731,chr5,+
ENSG00000145736.14,71035329,71067689,chr5,-
ENSG00000179222.17,51893639,51902357,chrX,+
chr5:179858000,179858888,179861137,chr5,+
ENSG00000110801.13,121888809,121916644,chr12,+
ENSG00000121957.12,108876981,108924361,chr1,+
ENSG00000164692.17,94394914,94431232,chr7,+
ENSG00000178467.17,48990262,49007154,chr3,+
ENSG00000205937.11,2253116,2268095,chr16,-
ENSG00000246985.7,93542464,93571680,chr12,-
ENSG00000135447.16,54579248,54584316,chr12,-
ENSG00000123297.17,57782787,57796734,chr12,+
ENSG00000169057.21,154030234,154097737,chrX,-
ENSG00000115556.13,218607899,218622186,chr2,+
ENSG00000120254.15,150866333,150899021,chr6,+
ENSG00000146729.9,55964962,56000181,chr7,+
ENSG00000174446.12,66489748,66497750,chr15,-
ENSG00000013375.15,83165478,83193293,chr6,-
chr11:111889000_ENSG00000176343.5,111889129,111889482,chr11,-
ENSG00000150787.7,112226432,112294116,chr11,+
ENSG00000163755.8,149129639,149172961,chr3,+
ENSG00000267261.5,42124978,42154992,chr17,-
ENSG00000133226.16,24643272,24673267,chr1,+
ENSG00000147687.18,124488508,124538469,chr8,-
ENSG00000166793.10,57645088,57649944,chr11,-
ENSG00000139921.12,51240250,51256039,chr14,+
ENSG00000070756.15,100702916,100721992,chr8,-
ENSG00000014641.17,63588963,63607197,chr2,+
ENSG00000073008.14,44643910,44663583,chr19,+
ENSG00000178952.10,28842838,28846330,chr16,-
ENSG00000176261.15,32621830,32650584,chr1,-
ENSG00000149485.18,61801883,61816778,chr11,-
ENSG00000135838.13,182789769,182829026,chr1,+
ENSG00000174775.16,532242,535538,chr11,-
ENSG00000182378.13,276353,300073,chrX,+
ENSG00000104412.7,108443637,108486918,chr8,+
chr2:99154000,99154998,99163157,chr2,+
ENSG00000030582.17,44345302,44353102,chr17,+
ENSG00000128536.15,105876796,106016392,chr7,+
ENSG00000167566.16,49803142,49828722,chr12,-
ENSG00000111674.8,6914589,6923698,chr12,+
ENSG00000162869.15,48440797,48471450,chr2,+
chr9:127690000_ENSG00000279571.3,127690098,127690958,chr9,+
ENSG00000198522.13,27629052,27650846,chr2,+
ENSG00000125337.16,168017901,168045089,chr6,+
ENSG00000139192.11,6452042,6462318,chr12,+
ENSG00000119772.16,25281452,25341885,chr2,-
ENSG00000133789.14,9664077,9750491,chr11,+
ENSG00000023191.16,494515,507259,chr11,-
ENSG00000196549.10,155160390,155182391,chr3,+
chr11:73842000,73842079,73843285,chr11,+
ENSG00000123815.11,40691530,40715785,chr19,-
ENSG00000166046.10,106302818,106330326,chr12,+
ENSG00000148120.16,95048768,95087218,chr9,+
chr14:75053000,75053243,75069576,chr14,-
ENSG00000085733.15,70398537,70436584,chr11,+
ENSG00000079246.15,216109351,216206291,chr2,+
ENSG00000166783.21,15625511,15643108,chr16,-
ENSG00000124164.15,58389313,58445552,chr20,+
chr11:57645000,57645087,57646885,chr11,-
ENSG00000225224.1,157192322,157192877,chr7,+
ENSG00000149557.12,125445745,125592568,chr11,-
ENSG00000260916.7,55317184,55408279,chr15,-
ENSG00000119487.16,125438469,125707202,chr9,-
ENSG00000140873.15,77283628,77435114,chr16,-
ENSG00000163072.15,168802636,168865055,chr2,+
ENSG00000108515.17,4951119,4957131,chr17,+
ENSG00000135924.15,219279366,219282741,chr2,+
ENSG00000102781.13,30208032,30307484,chr13,-
ENSG00000095970.16,41158507,41163103,chr6,-
ENSG00000204653.9,50511604,50513885,chr19,-
ENSG00000107672.14,121957091,121975216,chr10,-
ENSG00000165637.13,75210814,75231277,chr10,+
ENSG00000211455.7,27244255,27322683,chr12,+
ENSG00000156990.14,9837849,9844018,chr3,-
ENSG00000123395.14,52069987,52077494,chr12,+
ENSG00000125124.11,56498600,56520087,chr16,-
ENSG00000134853.11,54229280,54298247,chr4,+
chr8:81731000,81731359,81732407,chr8,-
ENSG00000167461.11,16111892,16133635,chr19,+
ENSG00000138326.18,78033863,78040697,chr10,+
ENSG00000134574.11,47214992,47239240,chr11,+
ENSG00000159479.16,43383917,43389808,chr1,-
ENSG00000076770.14,132379203,132411382,chrX,-
ENSG00000214160.9,184242425,184248971,chr3,-
ENSG00000258890.6,64506975,64537951,chr17,+
ENSG00000239779.6,74458459,74460856,chr2,+
ENSG00000112343.10,25962802,25983811,chr6,+
ENSG00000118194.18,201359015,201377762,chr1,-
ENSG00000197037.10,99616953,99626997,chr7,+
ENSG00000143369.14,150508107,150513789,chr1,+
ENSG00000136527.17,185917328,185938024,chr3,-
ENSG00000135297.15,73461742,73501096,chr6,+
ENSG00000128591.15,128830426,128849896,chr7,+
ENSG00000184343.10,153781041,153785766,chrX,+
ENSG00000186439.12,123216772,123636972,chr6,-
ENSG00000105323.16,41264422,41307598,chr19,+
ENSG00000186448.14,44625040,44642305,chr3,+
chr1:65254000,65254462,65256984,chr1,+
ENSG00000099326.8,58566904,58573575,chr19,-
ENSG00000100413.16,41528842,41544445,chr22,-
ENSG00000197635.9,161992241,162074122,chr2,-
ENSG00000122643.18,33014130,33062797,chr7,-
ENSG00000067167.7,70573442,70608387,chr8,-
ENSG00000134333.13,18394704,18407847,chr11,+
ENSG00000269858.5,40799187,40808433,chr19,+
ENSG00000135318.11,85450091,85495778,chr6,+
ENSG00000149925.17,30065762,30070380,chr16,+
chr10:17229000,17229278,17232574,chr10,+
ENSG00000204138.12,28438151,28497706,chr1,+
ENSG00000133265.10,55262231,55280077,chr19,-
ENSG00000135423.12,56472883,56488414,chr12,-
ENSG00000140416.19,63042751,63066013,chr15,+
ENSG00000106853.18,111548818,111599835,chr9,-
ENSG00000205593.11,50311966,50327060,chr22,-
ENSG00000023697.12,15911329,16037282,chr12,+
ENSG00000170579.16,3502219,3874325,chr18,-
ENSG00000244682.7,161581339,161605662,chr1,+
chr17:82657000,82657581,82659589,chr17,-
ENSG00000140416.19,63042751,63066013,chr15,+
ENSG00000143119.12,110873154,110899928,chr1,+
ENSG00000167604.13,35887653,35899740,chr19,-
ENSG00000124253.10,57561103,57565392,chr20,+
ENSG00000164815.10,104126341,104208047,chr7,-
ENSG00000138078.15,44318763,44361561,chr2,-
ENSG00000171940.13,53567073,53593839,chr20,-
ENSG00000197343.10,99558669,99564703,chr7,+
ENSG00000124155.17,45416133,45426240,chr20,+
ENSG00000140105.17,100333790,100376302,chr14,-
ENSG00000205517.12,11377763,11419342,chr19,-
ENSG00000171720.9,141620876,141636833,chr5,-
ENSG00000133460.19,23857875,23885551,chr22,+
chr17:782000,782367,792509,chr17,+
ENSG00000260565.6,2660350,2673444,chr16,-
chr12:2691000,2691201,2693492,chr12,+
ENSG00000153789.12,85098358,85112390,chr16,-
ENSG00000119977.20,95663882,95693899,chr10,-
ENSG00000077454.15,100574660,100586153,chr7,-
ENSG00000196476.11,270863,290429,chr20,-
chr14:34874000,34874933,34875694,chr14,-
ENSG00000136938.8,97983361,98015815,chr9,+
ENSG00000176986.15,73744384,73772161,chr10,+
ENSG00000182791.4,66590176,66593152,chr11,-
chr17:42514000,42514144,42515484,chr17,+
ENSG00000010610.9,6789472,6820808,chr12,+
ENSG00000042286.14,70099417,70146676,chr10,-
ENSG00000142046.14,41376733,41384077,chr19,+
ENSG00000161896.11,33721670,33746905,chr6,-
ENSG00000064225.12,98733456,98786296,chr3,+
ENSG00000178053.17,158571194,158605399,chr3,+
ENSG00000162267.12,52794796,52808796,chr3,+
ENSG00000115020.16,208266267,208304912,chr2,+
ENSG00000166598.14,103930410,103947927,chr12,+
ENSG00000214435.7,102869516,102901117,chr10,+
ENSG00000183963.18,31093358,31104624,chr22,+
ENSG00000022277.12,56468658,56518886,chr20,+
ENSG00000103351.12,3501007,3536559,chr16,+
ENSG00000174720.15,112637165,112647873,chr4,+
chr1:92832000,92832025,92841862,chr1,+
ENSG00000147576.15,66432504,66468907,chr8,+
ENSG00000105270.14,36014660,36032886,chr19,-
ENSG00000169598.15,3857267,3873299,chr1,+
ENSG00000130734.9,10543895,10553418,chr19,+
ENSG00000143164.15,168015887,168076233,chr1,+
ENSG00000271762.1,91303029,91314383,chr5,-
ENSG00000099624.7,1241817,1244786,chr19,+
ENSG00000134574.11,47214570,47236761,chr11,+
ENSG00000136960.12,119557086,119638839,chr8,-
ENSG00000115648.13,237487251,237553956,chr2,+
ENSG00000184967.6,132144448,132152473,chr12,+
ENSG00000157349.16,70299178,70333826,chr16,+
ENSG00000196295.11,30516975,30594809,chr7,-
ENSG00000166979.12,32412006,32515389,chr21,+
ENSG00000240344.8,200870956,200888579,chr2,-
ENSG00000126773.12,60091919,60134809,chr14,+
ENSG00000156603.15,57703714,57712207,chr11,-
ENSG00000081307.12,132660343,132671799,chr3,+
ENSG00000151348.13,44095679,44117748,chr11,+
ENSG00000062485.18,56271699,56316059,chr12,-
ENSG00000134057.14,69167216,69177700,chr5,+
ENSG00000108774.14,42124978,42154992,chr17,-
ENSG00000179091.4,144095486,144097525,chr8,+
ENSG00000263753.6,5238100,5243936,chr18,+
ENSG00000109099.13,15229778,15265326,chr17,-
ENSG00000138385.15,169798879,169812064,chr2,+
ENSG00000164039.14,103079435,103099883,chr4,-
ENSG00000120549.17,24466531,24547670,chr10,+
chr3:46808000,46808514,46811347,chr3,-
ENSG00000137573.13,69492832,69660055,chr8,+
ENSG00000004142.11,28347177,28357522,chr17,-
ENSG00000139370.11,128793195,128823593,chr12,-
ENSG00000022267.16,136148083,136211354,chrX,+
ENSG00000107951.14,30312826,30348977,chr10,-
ENSG00000182511.11,90884447,90895693,chr15,+
ENSG00000100644.16,61695513,61748258,chr14,+
ENSG00000270617.1,43866558,43906627,chr7,-
ENSG00000149273.14,75399518,75405628,chr11,+
ENSG00000074266.19,86245223,86278736,chr11,+
ENSG00000132300.18,86106226,86140891,chr2,+
chr11:65174000_ENSG00000255200.1,65174912,65175531,chr11,-
ENSG00000055950.16,100981377,100987513,chr10,-
ENSG00000257390.5,55752580,55817756,chr12,-
ENSG00000138162.18,122192448,122225080,chr10,+
ENSG00000134910.12,125592867,125621060,chr11,+
chrM:3000,3305,5511,chrM,-
chr17:28747000,28747016,28750079,chr17,-
ENSG00000148187.17,122264887,122323092,chr9,+
ENSG00000104872.10,49446299,49451817,chr19,-
ENSG00000103034.14,58505989,58510959,chr16,+
ENSG00000132170.19,12289071,12434356,chr3,+
ENSG00000122783.16,135165785,135170524,chr7,-
ENSG00000067836.12,4796968,4802673,chr16,-
ENSG00000148308.17,133030711,133058503,chr9,+
ENSG00000166226.12,69585426,69601525,chr12,+
chr1:45568000,45568069,45570049,chr1,+
